z(redshift),mu (distance modulus),,
0.406594,41.68,,
0.350196,41.33,,
0.362111,41.54,,
0.401237,41.68,,
0.371537,42.01,,
0.205871,39.9,,
0.271354,40.42,,
0.330984,40.74,,
0.34841,41.37,,
0.286131,40.72,,
0.270999,40.56,,
0.292633,40.43,,
0.277751,40.63,,
0.294615,40.85,,
0.400479,41.49,,
0.381207,41.68,,
0.380703,41.04,,
0.36744,41.51,,
0.211305,39.57,,
0.077603,37.8,,
0.416755,41.65,,
0.335217,41.09,,
0.254586,40.59,,
0.186301,39.69,,
0.250581,40.42,,
0.239028,40.72,,
0.350692,41.15,,
0.236763,40.09,,
0.259043,40.6,,
0.154056,39.29,,
0.379667,41.82,,
0.291833,40.94,,
0.40397,42.02,,
0.364553,41.56,,
0.211402,39.9,,
0.330917,41.35,,
0.516286,41.87,,
0.388161,41.57,,
0.421841,41.37,,
0.309131,40.63,,
0.438975,42.22,,
0.444784,41.86,,
0.429997,41.77,,
0.375455,41.39,,
0.507535,42.19,,
0.165485,39.35,,
0.31475,41.03,,
0.245953,40.03,,
0.407113,41.78,,
0.237445,39.81,,
0.255413,40.45,,
0.219044,40.16,,
0.405473,41.86,,
0.252512,40.05,,
0.175149,39.04,,
0.138092,38.92,,
0.39657,41.99,,
0.286893,40.68,,
0.305031,40.82,,
0.266012,40.55,,
0.383011,40.8,,
0.381584,41.23,,
0.315484,40.57,,
0.123228,38.79,,
0.055939,36.69,,
0.175317,39.42,,
0.249877,40.36,,
0.253644,40.17,,
0.288049,40.72,,
0.263952,40.69,,
0.374257,41.64,,
0.185316,39.65,,
0.235152,40.51,,
0.10484,38.17,,
0.309838,40.86,,
0.139729,39.1,,
0.244533,40.34,,
0.178292,40.62,,
0.244187,40.33,,
0.166236,39.21,,
0.341241,40.74,,
0.367851,41.45,,
0.368842,41.63,,
0.277301,40.63,,
0.376684,41.62,,
0.217716,39.83,,
0.375684,41.53,,
0.401202,41.21,,
0.441176,41.73,,
0.41054,41.9,,
0.469041,41.88,,
0.346981,41.2,,
0.318863,40.71,,
0.218458,40.21,,
