,Name,log(Mb),e_log(Mb),Inc,e_Inc,Vf,e_Vf,V2exp,e_V2exp,V2eff,e_V2eff,Vmax,e_Vmax,Wp20,e_Wp20,Wm50,e_Wm50,Wm50c,e_Wm50c
31,NGC0891,10.88,0.11,90,1,216.1,6.2,223.1,3.9,224.9,3.2,234,12,480,4,0,0,0,0
32,NGC1003,10.05,0.26,67,5,109.8,5.8,76.2,4.2,90.3,5.1,115,4.6,249.9,11,227,11.6,224.9,11.5
33,NGC1090,10.68,0.23,64,3,164.4,5.7,165.3,12.8,174.8,5.5,176,8.6,379.4,11.4,366,17.7,354.9,17.5
34,NGC2403,9.97,0.08,63,3,131.2,6.1,101.6,4.2,118,6.2,136,5.3,287.3,12.6,0,0,0,0
35,NGC2683,10.62,0.11,80,5,154,11.4,204.2,5.9,210.1,6,212,6,446.8,8.5,443.7,15.6,441.7,15.6
36,NGC2841,11.03,0.13,76,10,284.8,15.3,319.3,27.2,321.7,18.4,323,16.5,632.8,27.8,622.5,29.6,619.4,29.5
37,NGC2903,10.65,0.28,66,3,184.6,7.5,212.6,5.3,201,4.8,216,5.9,429.1,11.2,414.9,12.6,412.7,12.5
38,NGC2915,9,0.06,56,4,83.5,8,44.7,9.6,38,13.5,86.5,7.6,185.8,11.9,183.3,17.3,174.9,17.1
39,NGC2955,11.3,0.12,56,7,0,0,0,0,275,24.8,276,24.4,674.3,56.5,595.9,51.1,576.6,49.5
40,NGC2976,9.28,0.11,61,10,85.4,9.6,86.3,9.9,0,0,88.7,9.7,178.4,18.6,0,0,0,0
41,NGC2998,11.03,0.15,58,2,209.9,9.5,213.5,6.8,213.3,6.8,214,6.8,478.7,11.2,465.2,15,451,14.8
42,NGC3109,8.86,0.06,70,5,66.2,3.9,51.4,3.9,50.2,3.8,67.3,3.7,143.7,6.8,130.9,13.6,123.4,13.6
43,NGC3198,10.53,0.11,73,3,150.1,4.7,145.1,2.8,155.6,3.2,157,3.2,335.7,7.3,322.6,9.5,318.4,9.5
44,NGC3521,10.68,0.28,75,5,213.7,16.9,214.2,23.6,218.1,15.5,220,9.8,484.5,12.4,471.6,15.2,465.9,15.1
45,NGC3726,10.64,0.15,53,2,168,13.2,150.5,6.3,150.7,6.3,169,11.5,368.1,11.4,344.3,14.2,340.6,14.2
46,NGC3741,8.41,0.06,70,4,50.1,3.1,16.8,2.4,22,2.3,51.6,3.5,108.5,7.5,90.5,8.3,84.1,8.3
47,NGC3769,10.22,0.14,70,2,118.6,10.2,125.3,5.9,110.9,7.2,126,4.7,279.9,8.8,254.3,8.6,248,8.6
48,NGC3877,10.58,0.16,76,1,168.4,6.2,160.7,5.3,171,5,171,5,370,7.2,366.9,18.1,359.2,18.1
49,NGC3893,10.57,0.15,49,2,174,14.6,194,8.7,189.6,8.6,194,8.7,413.4,13.5,384.3,14.1,379,14
50,NGC3917,10.13,0.15,79,2,135.9,5.1,120,4,136.7,3.6,138,5.1,300.5,6.3,290.8,17.6,287.3,17.6
51,NGC3949,10.37,0.15,55,2,163,16.1,0,0,158.9,7.7,169,25.8,347.9,10.4,322.3,18.7,318.6,18.7
52,NGC3953,10.87,0.16,62,1,220.8,8,223.8,6,223.1,6.4,224,6,482.5,6.7,472.3,18.5,467.8,18.5
53,NGC3972,9.94,0.15,77,1,132.7,5.4,112.9,4.4,132.2,6.1,134,6.1,273,11.1,278.1,8.1,274,8.1
54,NGC3992,11.13,0.13,56,2,241,9.3,254,9.2,271.6,8.6,272,8.6,577.8,14.5,570.5,15.6,564.5,15.5
55,NGC4010,10.09,0.14,89,1,125.8,5.5,116,5.1,0,0,129,5.1,276,7,257.5,18.5,251,18.5
56,NGC4013,10.64,0.16,89,1,172.9,7.5,195,3,195,3,198,10,409.1,7,399.1,16,397.1,16
